Borítókép;Cím;Év;Játékidő [perc];Értékelés;Link
https://m.media-amazon.com/images/M/MV5BOTk2ZTI3YmUtZDhlMy00YzQwLWExYWUtYzIxZDk0Mjk3ZGMxXkEyXkFqcGdeQXVyNDI3NjcxMDA@._V1_QL75_UY148_CR2,0,100,148_.jpg;A Vizsga;2011;90;7;https://www.youtube.com/watch?v=a8kDZYNJhIk&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=2&t=630s
https://m.media-amazon.com/images/M/MV5BNjE0YjUxMjMtYjFiYy00YTU0LTgxZmEtODk0NzFiYWYxMmM5XkEyXkFqcGdeQXVyMjgxMTkzOQ@@._V1_QL75_UY148_CR3,0,100,148_.jpg;Final Cut - Hölgyeim és uraim;2012;80;7;https://www.youtube.com/watch?v=a8kDZYNJhIk&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=2&t=828s
https://m.media-amazon.com/images/M/MV5BYzM3Yzk2MmItNmExMy00MWQxLWJmYjUtY2RkN2QxZDVkODgxXkEyXkFqcGdeQXVyNjAwOTM4MDE@._V1_QL75_UX100_CR0,0,100,148_.jpg;Az ajtó;2012;94;2;https://www.youtube.com/watch?v=a8kDZYNJhIk&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=2&t=1010s
https://m.media-amazon.com/images/M/MV5BNjJiYjc0MGQtYzAxMC00Zjc4LWE2ZTctNjAxZTAzNTU5Mjg3XkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_QL75_UY148_CR6,0,100,148_.jpg;Csak a szél;2012;86;8;https://www.youtube.com/watch?v=a8kDZYNJhIk&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=2&t=1497s
https://m.media-amazon.com/images/M/MV5BYmJmNWEwOTAtYzg5Mi00YjRjLWIzMDUtNDQ1MTVkM2JkM2VlXkEyXkFqcGdeQXVyMjgxMTkzOQ@@._V1_QL75_UY148_CR2,0,100,148_.jpg;Drága besúgott barátaim;2012;93;2;https://www.youtube.com/watch?v=a8kDZYNJhIk&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=2&t=1832s
https://m.media-amazon.com/images/M/MV5BMTQ0NDA2NjkwMF5BMl5BanBnXkFtZTcwODUwMDgwOQ@@._V1_QL75_UY148_CR2,0,100,148_.jpg;Tüskevár;2012;99;1;https://www.youtube.com/watch?v=a8kDZYNJhIk&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=2&t=2088s
https://m.media-amazon.com/images/M/MV5BMTk1NjQxNDk0NV5BMl5BanBnXkFtZTgwNDYxNDE3MDE@._V1_QL75_UY148_CR2,0,100,148_.jpg;Aglaja;2012;110;3;https://www.youtube.com/watch?v=a8kDZYNJhIk&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=2&t=2484s
https://m.media-amazon.com/images/M/MV5BMjE2MzY2NDgyNl5BMl5BanBnXkFtZTcwMDU3MDU3Nw@@._V1_QL75_UY148_CR13,0,100,148_.jpg;Magic boys;2012;100;2;https://www.youtube.com/watch?v=a8kDZYNJhIk&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=2&t=2852s
https://m.media-amazon.com/images/M/MV5BYzYxODQxNjUtMjYxZi00OTlmLWJiZTYtMzU2NjI3ZTE4YTQ5XkEyXkFqcGdeQXVyMTU1NTI2MA@@._V1_QL75_UY148_CR3,0,100,148_.jpg;Nejem, nőm, csajom;2012;91;3;https://www.youtube.com/watch?v=a8kDZYNJhIk&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=2&t=3165s
https://m.media-amazon.com/images/M/MV5BYjhiNzM5YzItNjczNy00MjYzLTkzM2EtZjZjN2JjYjBjYTcxXkEyXkFqcGdeQXVyNjI5OTgyMjA@._V1_QL75_UY148_CR3,0,100,148_.jpg;Login;2013;82;2;https://www.youtube.com/watch?v=a8kDZYNJhIk&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=2&t=3463s
https://m.media-amazon.com/images/M/MV5BY2VkNzBlZDAtOTc1Yi00YTZhLWIwZDQtMTQ2ZDUwYWFmMDYwXkEyXkFqcGdeQXVyNDQ1Mjc3OTY@._V1_QL75_UY148_CR3,0,100,148_.jpg;Nekem Budapest;2013;95;3;https://www.youtube.com/watch?v=a8kDZYNJhIk&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=2&t=3696s
https://m.media-amazon.com/images/M/MV5BOThkZjZhYmUtZjZhYi00MjU5LWEwZTUtYjZkM2IzYmMwYzNjXkEyXkFqcGdeQXVyMTU1NTI2MA@@._V1_QL75_UY148_CR2,0,100,148_.jpg;Elment az öszöd;2013;82;0;https://www.youtube.com/watch?v=A9Pg0CeVbjQ&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=3&t=220s
https://m.media-amazon.com/images/M/MV5BYTM4OTM2NTktYjhkNC00YTUzLThmYTQtZmU3ZTM0NmJlMzczXkEyXkFqcGdeQXVyMTU1NTI2MA@@._V1_QL75_UY148_CR2,0,100,148_.jpg;A legyőzhetetlenek;2013;105;5;https://www.youtube.com/watch?v=A9Pg0CeVbjQ&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=3&t=704s
https://m.media-amazon.com/images/M/MV5BYzQ2ZDZkY2QtNjk1ZS00Yzc3LTgwNGEtMWJjOWQxODJmNDFkL2ltYWdlXkEyXkFqcGdeQXVyMjMxOTA1NjA@._V1_QL75_UY148_CR3,0,100,148_.jpg;Interjú;2014;112;0;https://www.youtube.com/watch?v=A9Pg0CeVbjQ&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=3&t=1073s
https://m.media-amazon.com/images/M/MV5BMjg0OTQ4NjYyOV5BMl5BanBnXkFtZTgwNDM4NjczMzE@._V1_QL75_UX100_CR0,1,100,148_.jpg;Gingerclown;2013;83;2;https://www.youtube.com/watch?v=A9Pg0CeVbjQ&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=3&t=1673s
